Gene	Chromosome	TSS	Strand	DistanceTSStoORF
NAR1	chr14	189934	-	47
PDR16	chr14	207100	-	148
URE2	chr14	210322	-	214
JJJ1	chr14	212391	-	56
CNM67	chr14	214405	-	32
SQS1	chr14	217088	-	85
POP1	chr14	223681	-	82
ALG9	chr14	227713	-	146
RRG9	chr14	237096	-	88
RTT106	chr14	248066	-	7
PSY2	chr14	253378	-	271
NNR1	chr14	254457	-	100
GCR2	chr14	256553	-	119
WHI3	chr14	259835	-	338
YNL194C	chr14	263617	-	98
MRPL19	chr14	282669	-	97
NPR1	chr14	285518	-	106
IPI3	chr14	287581	-	51
RHO5	chr14	290731	-	179
MRPL22	chr14	294547	-	39
TDA7	chr14	297052	-	179
NOP13	chr14	298535	-	36
MDG1	chr14	299984	-	40
PSD1	chr14	307610	-	55
FMP41	chr14	308734	-	41
SKO1	chr14	311599	-	356
BNI5	chr14	313471	-	22
IBD2	chr14	316381	-	177
RIA1	chr14	320022	-	65
ASI2	chr14	329252	-	21
NSG2	chr14	332023	-	171
YCK2	chr14	335386	-	226
GIM3	chr14	335979	-	37
RPC31	chr14	338455	-	50
PGA2	chr14	339658	-	18
ALF1	chr14	340566	-	11
YNL144C	chr14	345041	-	115
THO2	chr14	355640	-	88
NAM9	chr14	359984	-	94
FPR1	chr14	362078	-	17
YNL134C	chr14	363460	-	45
FYV6	chr14	364546	-	20
CPT1	chr14	370707	-	42
ESBP6	chr14	382213	-	212
YNL122C	chr14	388176	-	-28
TOM70	chr14	390419	-	48
DCP2	chr14	395461	-	63
YNL115C	chr14	401922	-	35
CYB5	chr14	407113	-	31
NOP15	chr14	408306	-	38
YNL108C	chr14	409640	-	34
INP52	chr14	414377	-	102
LEU4	chr14	416659	-	125
OCA1	chr14	429097	-	33
RAS2	chr14	430396	-	44
PHO23	chr14	432250	-	132
RPS7B	chr14	434114	-	44
YNL095C	chr14	436802	-	211
END3	chr14	460908	-	54
SWS2	chr14	466409	-	39
EOS1	chr14	467954	-	172
TPM1	chr14	468955	-	40
MLF3	chr14	477897	-	46
RPL16B	chr14	484750	-	31
YDJ1	chr14	497008	-	193
ARP5	chr14	504669	-	16
YNL058C	chr14	506498	-	67
POR1	chr14	508602	-	39
SFB2	chr14	527631	-	8
SLM2	chr14	531622	-	29
COG6	chr14	541740	-	41
IDH1	chr14	548819	-	105
YNL035C	chr14	559464	-	67
HHT2	chr14	565773	-	16
KTR5	chr14	568528	-	48
SSN8	chr14	575025	-	27
KSH1	chr14	576609	-	82
EFM6	chr14	577575	-	21
FAP1	chr14	580916	-	49
RCM1	chr14	582631	-	25
ARK1	chr14	587374	-	128
YNL011C	chr14	602889	-	20
ASI3	chr14	607965	-	25
SIS1	chr14	609391	-	127
MRP7	chr14	612172	-	45
PET8	chr14	615560	-	32
RLP7	chr14	616876	-	35
CIT1	chr14	620860	-	100
ATO2	chr14	623595	-	40
RPC34	chr14	625033	-	37
ATG3	chr14	629871	-	58
PRP2	chr14	636667	-	18
PHO91	chr14	641442	-	31
ACC1	chr14	651600	-	534
ATP23	chr14	657813	-	-85
MRPL50	chr14	659894	-	25
SEC12	chr14	664393	-	28
YNR029C	chr14	668193	-	29
SSK2	chr14	675397	-	288
HUB1	chr14	677179	-	37
ARC35	chr14	683758	-	33
MRPS12	chr14	684510	-	10
RSM19	chr14	685021	-	16
ZRG17	chr14	689140	-	31
COQ2	chr14	691361	-	24
MSO1	chr14	703363	-	30
LYS9	chr14	705105	-	39
POP2	chr14	710367	-	57
NOG2	chr14	712817	-	43
ESF2	chr14	713995	-	27
HOL1	chr14	720305	-	457
BIO5	chr14	722892	-	-73
BIO4	chr14	723493	-	-238
YNR061C	chr14	733287	-	86
YNR066C	chr14	744706	-	4
DSE4	chr14	748819	-	46
BSC5	chr14	752416	-	154
BDS1	chr15	6017	+	62
ZPS1	chr15	34352	+	273
FRE7	chr15	40702	+	13
GRE2	chr15	43647	+	14
DCP1	chr15	44886	+	19
PSF3	chr15	48797	+	13
NOP8	chr15	53022	+	22
RRP40	chr15	55491	+	13
ARG8	chr15	58656	+	49
BSC6	chr15	65500	+	56
HRT1	chr15	70225	+	34
YOL131W	chr15	72962	+	5
ALR1	chr15	74089	+	247
VPS68	chr15	77476	+	20
RPL25	chr15	80250	+	34
TRM13	chr15	83620	+	150
HRP1	chr15	87409	+	366
RRI2	chr15	97439	+	39
MSN1	chr15	99605	+	131
SKM1	chr15	104124	+	129
MSB4	chr15	106456	+	181
SHR5	chr15	109091	+	12
ZEO1	chr15	110168	+	56
YOL107W	chr15	111966	+	57
ITR2	chr15	117821	+	170
PKH2	chr15	123009	+	218
TRM10	chr15	136779	+	26
YPQ1	chr15	138153	+	41
MSH2	chr15	141334	+	38
MHF1	chr15	153106	+	57
PHM7	chr15	156244	+	102
ATG34	chr15	159606	+	98
ATG19	chr15	162658	+	59
IRA2	chr15	164775	+	285
AVO1	chr15	175651	+	22
ATP19	chr15	179395	+	34
MDM20	chr15	180993	+	22
THP1	chr15	188939	+	22
SDH5	chr15	190500	+	-2
PRS5	chr15	206158	+	57
GPD2	chr15	211109	+	-20
ARG1	chr15	213102	+	72
YOL057W	chr15	214712	+	18
GPM3	chr15	217152	+	79
PSH1	chr15	222529	+	48
AIM39	chr15	224125	+	-84
GAL11	chr15	228706	+	190
GSH2	chr15	232527	+	42
PSK2	chr15	236982	+	465
PEX15	chr15	241050	+	50
NGL1	chr15	243716	+	59
RPP2A	chr15	248219	+	28
PRE6	chr15	249256	+	31
YOL036W	chr15	250302	+	393
SMC5	chr15	253846	+	27
MSE1	chr15	257367	+	58
OPI10	chr15	259316	+	63
GAS5	chr15	262087	+	50
LAG2	chr15	268845	+	62
IFM1	chr15	272001	+	5
TAT2	chr15	279999	+	125
YOL019W	chr15	282707	+	142
ESC8	chr15	286390	+	87
IRC10	chr15	290368	+	657
PLB3	chr15	305180	+	30
RCL1	chr15	307732	+	54
COQ10	chr15	310117	+	39
SIN3	chr15	316562	+	201
RRP6	chr15	326581	+	40
ALG6	chr15	329166	+	40
YSP3	chr15	331214	+	30
UTP23	chr15	333334	+	49
TIR4	chr15	344075	+	44
AUS1	chr15	349319	+	141
YOR012W	chr15	356294	+	24
RTS1	chr15	357190	+	259
ROD1	chr15	364097	+	47
YOR019W	chr15	367781	+	121
MCO10	chr15	371418	+	46
HST3	chr15	377980	+	19
BUB3	chr15	379536	+	25
STI1	chr15	380798	+	35
DFG16	chr15	386632	+	102
PEP12	chr15	400224	+	30
CYC2	chr15	401438	+	23
CKB2	chr15	405524	+	150
GLO4	chr15	406927	+	43
CUE5	chr15	408279	+	52
WHI2	chr15	410372	+	405
IRC23	chr15	412668	+	246
TOM6	chr15	413720	+	39
SGT1	chr15	432030	+	51
CKA2	chr15	441301	+	128
RPL3	chr15	444551	+	22
CYT1	chr15	447085	+	241
MSA1	chr15	449193	+	115
VPS5	chr15	453563	+	77
SGO1	chr15	464589	+	67
UFE1	chr15	468066	+	32
RTS2	chr15	471747	+	38
BUD21	chr15	472573	+	38
DIA2	chr15	474474	+	6
WHI5	chr15	479357	+	75
LPX1	chr15	480466	+	20
OST3	chr15	481872	+	60
YVC1	chr15	487534	+	72
TMA46	chr15	493270	+	62
ECM3	chr15	494829	+	197
ARF3	chr15	502596	+	98
RPS7A	chr15	505665	+	28
KTR1	chr15	511607	+	117
RAS1	chr15	515069	+	74
PIN2	chr15	517352	+	189
VAM3	chr15	518926	+	94
RGS2	chr15	520974	+	278
LEU9	chr15	522830	+	78
INP53	chr15	525058	+	101
TFC7	chr15	528739	+	83
YOR111W	chr15	530278	+	32
CEX1	chr15	531316	+	73
AZF1	chr15	533839	+	117
DPI34	chr15	537294	+	151
RPT5	chr15	544845	+	59
RTC5	chr15	546573	+	159
GCY1	chr15	550944	+	45
RGA1	chr15	560778	+	267
VPS17	chr15	572970	+	80
EFT1	chr15	574935	+	38
BAG7	chr15	578329	+	110
IDH2	chr15	580022	+	103
SFL1	chr15	586524	+	332
LSC1	chr15	592735	+	197
MDM32	chr15	600940	+	25
MRPL23	chr15	606330	+	27
PDR5	chr15	614030	+	168
SLP1	chr15	619039	+	48
PET123	chr15	626498	+	27
MTR10	chr15	628132	+	68
DDP1	chr15	637065	+	37
SEY1	chr15	638894	+	33
GLN4	chr15	643636	+	28
YRM1	chr15	648527	+	44
DCS2	chr15	651598	+	27
MED4	chr15	652994	+	114
HEM15	chr15	656694	+	67
LAS17	chr15	670211	+	70
SER1	chr15	673649	+	50
TUF1	chr15	678355	+	17
MSB1	chr15	680023	+	86
IES4	chr15	683932	+	34
ULS1	chr15	686731	+	86
PEX27	chr15	704730	+	56
SLK19	chr15	707136	+	70
MCA1	chr15	711410	+	16
HIS3	chr15	716263	+	23
DED1	chr15	717232	+	19
NOC2	chr15	721823	+	29
PTP2	chr15	728066	+	199
RPB10	chr15	732621	+	39
STE4	chr15	737138	+	111
RFC1	chr15	743552	+	87
RCN2	chr15	749645	+	21
ODC2	chr15	752640	+	28
DSC3	chr15	754103	+	19
HER1	chr15	756962	+	202
WTM2	chr15	762701	+	47
WTM1	chr15	765080	+	51
MKK1	chr15	766791	+	141
MGE1	chr15	768787	+	117
KIN4	chr15	769970	+	207
IRC13	chr15	774438	+	-237
DFR1	chr15	775223	+	14
HES1	chr15	776281	+	44
YOR238W	chr15	778001	+	7
ABP140	chr15	779134	+	54
MET7	chr15	781493	+	-167
ESA1	chr15	786825	+	37
SRL1	chr15	791774	+	233
TMA16	chr15	797966	+	32
NAT5	chr15	798689	+	19
CDC31	chr15	805305	+	34
HNT3	chr15	805994	+	8
GCD1	chr15	808264	+	51
GPN2	chr15	811560	+	63
DSE3	chr15	813139	+	58
RBL2	chr15	814751	+	34
PNT1	chr15	815268	+	86
PAC1	chr15	820637	+	76
YTM1	chr15	827094	+	47
MOD5	chr15	832002	+	0
CAF20	chr15	835601	+	60
HEM4	chr15	837140	+	5
YOR283W	chr15	841717	+	64
HUA2	chr15	842759	+	47
RDL1	chr15	843954	+	9
RDL2	chr15	844585	+	23
YOR289W	chr15	847693	+	-8
YPK9	chr15	855360	+	143
RPS10A	chr15	861382	+	44
RRS1	chr15	862622	+	46
UAF30	chr15	863459	+	77
YOR296W	chr15	864433	+	97
BUD7	chr15	872685	+	78
RAX1	chr15	875275	+	18
CPA1	chr15	876988	+	230
ISW2	chr15	878731	+	102
RRG7	chr15	883264	+	63
SFG1	chr15	899018	+	40
FAA1	chr15	903612	+	29
HSH49	chr15	907116	+	4
PMT3	chr15	910294	+	34
MYO2	chr15	919839	+	180
PDR10	chr15	926276	+	-175
VMA4	chr15	937923	+	31
MRS2	chr15	938848	+	31
KRE5	chr15	944029	+	27
TEA1	chr15	948583	+	28
YOR338W	chr15	951122	+	43
RPA190	chr15	955147	+	107
REV1	chr15	975932	+	163
TFB6	chr15	991405	+	75
GDS1	chr15	999144	+	252
CIR2	chr15	1001453	+	27
HAP5	chr15	1004363	+	57
VTS1	chr15	1005354	+	94
SCP1	chr15	1020241	+	25
RAD17	chr15	1021071	+	31
NUD1	chr15	1031013	+	66
ALD4	chr15	1034037	+	48
ATF1	chr15	1040430	+	41
RDR1	chr15	1045327	+	208
FIT2	chr15	1053759	+	17
FRE5	chr15	1055771	+	38
YOR385W	chr15	1059250	+	38
PHR1	chr15	1061070	+	14
YOR389W	chr15	1068419	+	39
FEX1	chr15	1070990	+	39
YOL159C-A	chr15	15498	-	89
CSS3	chr15	17718	-	18
ENB1	chr15	21341	-	126
HPF1	chr15	31627	-	54
SPT20	chr15	47564	-	44
PEX11	chr15	48611	-	22
CTR9	chr15	52785	-	51
RIB4	chr15	55093	-	43
CDC33	chr15	61036	-	80
RTC1	chr15	65352	-	67
PFK27	chr15	68911	-	222
MED7	chr15	70010	-	31
YGK3	chr15	79486	-	71
MDH2	chr15	82932	-	76
TRM11	chr15	86716	-	28
SMF1	chr15	91386	-	36
RPS19A	chr15	92811	-	30
RPL18A	chr15	94353	-	20
MCH4	chr15	96356	-	68
PTH4	chr15	103864	-	12
MDY2	chr15	108872	-	49
INO4	chr15	111811	-	4
WSC3	chr15	116000	-	271
TPT1	chr15	120698	-	19
IZH4	chr15	121973	-	63
SDD3	chr15	129923	-	95
WRS1	chr15	131826	-	11
COQ3	chr15	133064	-	29
HMI1	chr15	135370	-	33
RFC4	chr15	136581	-	36
HAL9	chr15	147514	-	34
MPD2	chr15	148757	-	22
DUF1	chr15	152902	-	275
ADH1	chr15	154622	-	38
REX4	chr15	175462	-	44
BRX1	chr15	180742	-	28
YOL075C	chr15	187612	-	79
DSC2	chr15	188824	-	33
NBA1	chr15	192744	-	28
HST1	chr15	195800	-	-58
RTG1	chr15	196520	-	23
RIB2	chr15	198479	-	29
INP54	chr15	199883	-	27
MET22	chr15	201168	-	21
CRT10	chr15	204309	-	73
APM4	chr15	205986	-	20
MAM3	chr15	210174	-	66
THI20	chr15	220085	-	47
DDR2	chr15	225744	-	33
SPE2	chr15	227606	-	14
RRT8	chr15	235308	-	48
NTG2	chr15	243567	-	83
NOP12	chr15	246643	-	47
RPS15	chr15	247564	-	37
SIL1	chr15	261554	-	75
YAP7	chr15	265537	-	217
MDM38	chr15	267677	-	3
MIM1	chr15	268314	-	11
TSR4	chr15	275478	-	30
DIS3	chr15	279431	-	53
TLG2	chr15	286072	-	48
CMK2	chr15	290093	-	25
HRD1	chr15	303053	-	158
HTZ1	chr15	303948	-	105
MDM12	chr15	310007	-	24
CSI2	chr15	312296	-	85
TOP1	chr15	315385	-	156
RPB11	chr15	316050	-	37
PFA4	chr15	322827	-	8
IZH2	chr15	324192	-	7
DNL4	chr15	336282	-	-852
TSR3	chr15	338452	-	40
SGT2	chr15	339774	-	5
SLG1	chr15	342417	-	217
TIR2	chr15	346775	-	44
ERP4	chr15	360913	-	54
HSP10	chr15	370659	-	38
SFM1	chr15	373243	-	24
DDL1	chr15	375657	-	20
AHC1	chr15	377564	-	72
CIN5	chr15	384239	-	37
HMS1	chr15	390934	-	-50
EXO1	chr15	394561	-	128
AKR2	chr15	397208	-	213
SHE4	chr15	400030	-	20
HIR2	chr15	405345	-	51
DBP5	chr15	415846	-	32
STD1	chr15	417727	-	139
RAT1	chr15	421589	-	32
ETT1	chr15	426011	-	20
TMC1	chr15	427256	-	125
VHS3	chr15	429906	-	142
NOB1	chr15	431598	-	77
ASE1	chr15	436391	-	151
LPL1	chr15	440188	-	35
SLD7	chr15	441085	-	27
YOR062C	chr15	443469	-	43
YNG1	chr15	446626	-	1
ALG8	chr15	453375	-	41
GYP1	chr15	457866	-	174
NRT1	chr15	461617	-	470
CDC21	chr15	467509	-	35
SKI7	chr15	471543	-	37
ATX2	chr15	474337	-	35
TGL5	chr15	479100	-	26
TCB1	chr15	486871	-	193
VPS21	chr15	490807	-	80
PTC5	chr15	492865	-	125
CMR2	chr15	502380	-	29
RKI1	chr15	504297	-	70
YOR097C	chr15	507466	-	62
NUP1	chr15	511137	-	60
CRC1	chr15	514205	-	28
OST2	chr15	516761	-	21
TRS33	chr15	539391	-	51
RPO31	chr15	544234	-	214
RIO1	chr15	550159	-	38
PFY1	chr15	552803	-	41
LEO1	chr15	554505	-	60
UBP2	chr15	558624	-	107
CAT5	chr15	559650	-	44
IAH1	chr15	560583	-	31
ADE2	chr15	566105	-	39
AFI1	chr15	569511	-	78
ORT1	chr15	570791	-	109
YOR131C	chr15	572791	-	78
RUP1	chr15	586264	-	65
ARP8	chr15	592483	-	21
THI80	chr15	596774	-	74
ELG1	chr15	599507	-	57
PNO1	chr15	600550	-	21
SPP2	chr15	603577	-	22
SMP3	chr15	605790	-	44
RPB2	chr15	611307	-	278
ATG40	chr15	612810	-	164
ISN1	chr15	622359	-	21
NFI1	chr15	625053	-	152
PUP1	chr15	626177	-	65
SME1	chr15	627971	-	44
PNS1	chr15	633041	-	122
YRR1	chr15	636541	-	188
GET4	chr15	638734	-	41
SWT1	chr15	642901	-	38
RPS28A	chr15	643380	-	12
LCB4	chr15	648313	-	68
ALE1	chr15	656113	-	78
MPC54	chr15	661579	-	40
GAC1	chr15	664952	-	351
SYC1	chr15	666791	-	29
DCI1	chr15	669534	-	16
RPS30B	chr15	673155	-	20
GSP2	chr15	676506	-	58
TOA1	chr15	706952	-	69
LIP5	chr15	711201	-	24
BFR1	chr15	714584	-	179
MRM1	chr15	716066	-	18
GEP3	chr15	721582	-	8
RET1	chr15	727836	-	39
NPT1	chr15	732217	-	151
MGM1	chr15	736112	-	203
SAS5	chr15	739728	-	108
AIM41	chr15	741661	-	41
RUD3	chr15	743376	-	59
MCT1	chr15	751957	-	61
RPB8	chr15	755641	-	36
ISU2	chr15	756444	-	21
MCP1	chr15	762336	-	220
RPL33B	chr15	773768	-	32
PUS7	chr15	786611	-	39
DGA1	chr15	789694	-	31
ENV9	chr15	791184	-	60
APC5	chr15	795072	-	10
CLP1	chr15	796681	-	43
TUM1	chr15	797818	-	23
SEC63	chr15	801374	-	20
TRE2	chr15	805163	-	149
RPT4	chr15	808068	-	29
RPN8	chr15	811379	-	117
HRK1	chr15	819609	-	414
VPH1	chr15	825073	-	171
FSF1	chr15	826430	-	60
TPO4	chr15	831377	-	618
RIM20	chr15	835405	-	8
RFM1	chr15	839081	-	123
FSH3	chr15	840132	-	12
PLP2	chr15	841485	-	28
RRP36	chr15	846189	-	22
MPD1	chr15	847446	-	41
SNF2	chr15	854709	-	123
YOR292C	chr15	860874	-	-36
TIM18	chr15	869675	-	26
MBF1	chr15	872075	-	62
BIL1	chr15	883070	-	1
SLY41	chr15	888562	-	172
SNU66	chr15	890713	-	28
NOP58	chr15	892686	-	28
DGK1	chr15	894273	-	47
RPL20B	chr15	895539	-	47
SPS4	chr15	897668	-	496
COT1	chr15	901972	-	119
GNT1	chr15	909473	-	81
LDB19	chr15	915612	-	252
PRO2	chr15	917222	-	19
FRT1	chr15	919485	-	147
SNC2	chr15	925461	-	82
SCD5	chr15	933739	-	92
MIP1	chr15	937694	-	11
ALA1	chr15	943498	-	106
RPA43	chr15	954467	-	18
YOR342C	chr15	962014	-	122
TYE7	chr15	972468	-	132
PYK2	chr15	980828	-	99
PUT4	chr15	983064	-	15
MNE1	chr15	989158	-	36
SOG2	chr15	995129	-	34
MSC6	chr15	997506	-	22
SNX3	chr15	1003988	-	17
PDE2	chr15	1009312	-	232
PRT1	chr15	1011829	-	-82
PRE10	chr15	1013048	-	43
PIP2	chr15	1017494	-	23
RPS12	chr15	1022952	-	68
MRS6	chr15	1025531	-	278
GPB1	chr15	1028482	-	55
NDD1	chr15	1030786	-	70
GDH1	chr15	1037355	-	68
FIT3	chr15	1055351	-	51
FDH1	chr15	1067264	-	96
SAM3	chr16	31616	+	68
SAM4	chr16	33700	+	132
ATP15	chr16	38802	+	21
MDL2	chr16	39219	+	7
KAR9	chr16	41745	+	12
PLC1	chr16	43932	+	48
ACM1	chr16	46898	+	15
DIM1	chr16	47821	+	47
DIP5	chr16	49693	+	99
FUM1	chr16	55898	+	182
CUB1	chr16	57957	+	90
BBP1	chr16	76426	+	39
HFI1	chr16	77995	+	230
YPL245W	chr16	94289	+	30
SRP68	chr16	97160	+	90
YAR1	chr16	108139	+	78
SUI3	chr16	109197	+	32
RVB2	chr16	111862	+	103
NSL1	chr16	114840	+	65
SSO1	chr16	115845	+	163
FAS2	chr16	117348	+	37
USV1	chr16	123889	+	156
YPL229W	chr16	125780	+	20
CET1	chr16	126972	+	143
NEW1	chr16	130474	+	26
YPL225W	chr16	134708	+	31
FMP40	chr16	138863	+	32
FLC1	chr16	141545	+	231
RPL1A	chr16	144511	+	12
PCL8	chr16	145415	+	68
SAR1	chr16	147369	+	62
CBP3	chr16	156111	+	29
LEA1	chr16	159302	+	36
NIP7	chr16	162177	+	42
RKM1	chr16	166552	+	14
TYW1	chr16	168560	+	73
HRR25	chr16	172814	+	186
TPK2	chr16	174818	+	162
CSM4	chr16	180157	+	51
RPL7B	chr16	181839	+	37
OXR1	chr16	183727	+	40
APL5	chr16	184922	+	25
DDC1	chr16	187948	+	53
RSA1	chr16	190085	+	42
POS5	chr16	199846	+	16
MF(ALPHA)1	chr16	202040	+	54
RTC6	chr16	207528	+	76
CTI6	chr16	211809	+	121
TCO89	chr16	213711	+	46
PPQ1	chr16	216497	+	169
CBC2	chr16	220607	+	60
SPT14	chr16	227088	+	51
MRPL40	chr16	231606	+	46
DAP1	chr16	236770	+	53
MRX4	chr16	239581	+	145
ATG29	chr16	245816	+	31
CDC60	chr16	255432	+	67
TGS1	chr16	263203	+	120
RRD2	chr16	273475	+	62
ATG5	chr16	279759	+	60
PXA1	chr16	281747	+	17
POC4	chr16	288772	+	26
RPL33A	chr16	290411	+	29
ISU1	chr16	305807	+	64
COX11	chr16	309908	+	126
RPL5	chr16	311725	+	-286
TAF14	chr16	313559	+	57
NAN1	chr16	318492	+	36
KAP120	chr16	321576	+	130
SPC29	chr16	325042	+	31
VPS30	chr16	330373	+	16
MRP51	chr16	334860	+	86
HOS3	chr16	337727	+	197
CAR1	chr16	348216	+	46
YPL108W	chr16	356779	+	-15
DPC25	chr16	357394	+	43
MSD1	chr16	363977	+	41
ELP4	chr16	368488	+	39
ATG21	chr16	370137	+	53
MSY1	chr16	373250	+	20
PNG1	chr16	375229	+	16
NOG1	chr16	379251	+	45
SSU1	chr16	381967	+	144
GLR1	chr16	383768	+	52
YPL088W	chr16	390269	+	14
YDC1	chr16	391617	+	156
SEC16	chr16	395175	+	137
BRO1	chr16	402157	+	41
RPS9A	chr16	413060	+	41
RPL21B	chr16	414752	+	35
GPI2	chr16	418448	+	146
GCR1	chr16	420332	+	73
YTA6	chr16	423885	+	29
UBP16	chr16	426528	+	135
MUK1	chr16	428892	+	207
RGL1	chr16	434192	+	186
VPS28	chr16	436072	+	0
TIM50	chr16	437960	+	124
ALD6	chr16	440689	+	44
MFM1	chr16	442425	+	243
GRX5	chr16	452671	+	54
LEE1	chr16	463811	+	94
OAZ1	chr16	466888	+	57
ARL3	chr16	468098	+	11
CAM1	chr16	472509	+	26
SGF11	chr16	474010	+	86
VPS16	chr16	475291	+	103
NOP4	chr16	478016	+	57
YPL039W	chr16	487390	+	25
MET31	chr16	488688	+	37
PMA2	chr16	490932	+	100
YPL034W	chr16	494567	+	334
TRM44	chr16	501672	+	60
SUV3	chr16	503676	+	19
ERG10	chr16	506221	+	64
RMI1	chr16	511632	+	53
RAD1	chr16	514784	+	81
CTF19	chr16	525790	+	16
CIP1	chr16	535716	+	29
RRP12	chr16	537801	+	120
RET3	chr16	543151	+	65
CHL1	chr16	547325	+	246
NCR1	chr16	552790	+	27
AEP3	chr16	556649	+	23
ULA1	chr16	560194	+	12
HAT1	chr16	562775	+	16
CIT3	chr16	564518	+	45
PDH1	chr16	566558	+	13
HAA1	chr16	580892	+	312
SUT2	chr16	584658	+	80
RLF2	chr16	602555	+	90
MCM4	chr16	604833	+	86
ATP20	chr16	607990	+	49
YME1	chr16	618466	+	184
ATH1	chr16	623540	+	1
YOP1	chr16	631647	+	37
CSR2	chr16	636015	+	22
NTO1	chr16	639643	+	29
SRO7	chr16	642230	+	50
ARP7	chr16	647630	+	52
GLN1	chr16	650248	+	117
VMA13	chr16	651937	+	56
SPO24	chr16	654032	+	75
TIP41	chr16	655455	+	7
TIF5	chr16	656770	+	91
RPL43A	chr16	662296	+	21
MCM16	chr16	664934	+	5
MSF1	chr16	665632	+	37
TAH18	chr16	667298	+	24
MAK3	chr16	673078	+	22
SEC8	chr16	675769	+	47
TFB4	chr16	679230	+	36
BRR1	chr16	680630	+	-19
YMC1	chr16	681815	+	76
FCY1	chr16	685276	+	29
ROX1	chr16	687782	+	51
UBA3	chr16	689349	+	4
ISA2	chr16	690314	+	46
MED1	chr16	693997	+	41
YPR071W	chr16	696300	+	12
NOT5	chr16	698140	+	107
MRL1	chr16	706899	+	89
TEF1	chr16	708682	+	31
MDM36	chr16	712946	+	26
YPR084W	chr16	715005	+	85
SUA7	chr16	718175	+	44
YPR089W	chr16	721352	+	41
RDS3	chr16	728708	+	47
YPR097W	chr16	733276	+	236
MRPL51	chr16	737889	+	20
SNT309	chr16	738581	+	29
PRE2	chr16	740399	+	68
ISR1	chr16	748123	+	56
RPN7	chr16	750492	+	80
GLD1	chr16	752715	+	92
DBF20	chr16	755392	+	32
PIS1	chr16	760350	+	25
YPR114W	chr16	761338	+	80
RGC1	chr16	762795	+	199
RRG8	chr16	766744	+	21
MRI1	chr16	775858	+	11
AXL1	chr16	790118	+	44
CTR1	chr16	794153	+	172
YLH47	chr16	795962	+	116
YPR127W	chr16	798155	+	45
SCD6	chr16	800767	+	37
RPS23B	chr16	803058	+	24
TOM5	chr16	805641	+	33
MSS18	chr16	806142	+	26
CTF4	chr16	807318	+	33
RRP9	chr16	810394	+	82
TAZ1	chr16	822418	+	90
RRP15	chr16	826414	+	26
ASN1	chr16	830683	+	54
NCE102	chr16	837871	+	164
MAY24	chr16	841750	+	56
PIN3	chr16	842653	+	29
CUR1	chr16	851296	+	67
KRE6	chr16	859545	+	198
GPH1	chr16	863310	+	156
MMS1	chr16	872752	+	11
RHO1	chr16	877231	+	197
NUT2	chr16	880125	+	11
JIP5	chr16	880716	+	34
YPR170W-B	chr16	885261	+	38
BSP1	chr16	885852	+	36
YPR172W	chr16	887824	+	32
DPB2	chr16	891005	+	29
PRP4	chr16	894362	+	30
AOS1	chr16	898000	+	21
SMX3	chr16	902183	+	62
DPM1	chr16	902769	+	37
GDB1	chr16	904060	+	35
ATG13	chr16	908925	+	300
RPO26	chr16	913241	+	23
SKI3	chr16	914657	+	9
QCR2	chr16	921323	+	60
AQY1	chr16	923833	+	29
YPR196W	chr16	933398	+	-20
SGE1	chr16	936020	+	16
IMD2	chr16	8290	-	222
FEX2	chr16	23198	-	39
PBI1	chr16	36928	-	17
YPL264C	chr16	53116	-	22
KEL3	chr16	55269	-	13
APM1	chr16	61428	-	13
CLN2	chr16	75529	-	175
YAH1	chr16	82665	-	44
ATG41	chr16	83526	-	67
RPL36B	chr16	85006	-	27
GYP5	chr16	88133	-	40
GAL4	chr16	91118	-	22
YPL247C	chr16	92987	-	51
RBD2	chr16	94077	-	40
HUT1	chr16	96792	-	26
IQG1	chr16	103877	-	35
HSP82	chr16	107414	-	56
ENV7	chr16	111491	-	56
VMA11	chr16	114232	-	59
ALG5	chr16	130033	-	133
MMT2	chr16	137015	-	194
GRE1	chr16	137920	-	49
BMS1	chr16	151938	-	34
THI6	chr16	159016	-	101
PUS1	chr16	161877	-	4
SRP72	chr16	164955	-	19
IPL1	chr16	166384	-	67
PGC1	chr16	172346	-	25
AFT2	chr16	178111	-	49
YIG1	chr16	179906	-	27
YPL199C	chr16	181491	-	12
NAB3	chr16	196565	-	116
UIP4	chr16	203998	-	63
RTT10	chr16	211056	-	11
CUP9	chr16	222613	-	142
TRE1	chr16	226899	-	27
NIP100	chr16	231415	-	133
COX10	chr16	234388	-	138
OYE3	chr16	235911	-	31
MEX67	chr16	239383	-	36
REV3	chr16	245662	-	46
MLH3	chr16	250057	-	51
SVS1	chr16	251241	-	32
YPL162C	chr16	252591	-	55
BEM4	chr16	254805	-	76
PET20	chr16	260281	-	104
AIM44	chr16	262889	-	70
PRM4	chr16	265336	-	60
KIP2	chr16	267886	-	41
PEP4	chr16	269703	-	263
PRP46	chr16	276074	-	30
PPT2	chr16	281423	-	99
KES1	chr16	288301	-	284
FRK1	chr16	294625	-	246
MKK2	chr16	297580	-	228
UME1	chr16	299425	-	56
SPP1	chr16	300800	-	55
GIP3	chr16	305027	-	62
ODC1	chr16	307841	-	20
RDS2	chr16	309676	-	130
TBF1	chr16	316626	-	87
HHO1	chr16	317957	-	35
RNY1	chr16	327269	-	6
TFB2	chr16	329111	-	26
DBP1	chr16	334642	-	60
